unix,open,high,low,close,volume,num_of_trades,symbol
1641024000000,47194.73000000,47228.86000000,47075.11000000,47151.37000000,131.91374000,6435,BTCUSDT
1641024900000,47151.37000000,47344.69000000,47145.05000000,47305.23000000,183.98417000,7480,BTCUSDT
1641025800000,47305.23000000,47313.91000000,47166.97000000,47210.18000000,109.50519000,5056,BTCUSDT
1641026700000,47210.18000000,47260.00000000,47081.74000000,47124.82000000,107.04457000,5441,BTCUSDT
1641027600000,47124.82000000,47215.56000000,47062.77000000,47205.77000000,127.12603000,6212,BTCUSDT
1641028500000,47205.77000000,47205.78000000,47082.06000000,47094.74000000,85.76911000,5530,BTCUSDT
1641029400000,47094.74000000,47126.85000000,46933.58000000,46988.47000000,221.15260000,7934,BTCUSDT
1641030300000,46988.46000000,47143.99000000,46947.43000000,47143.98000000,107.27717000,5689,BTCUSDT
1641031200000,47143.98000000,47298.75000000,47111.11000000,47111.12000000,128.77257000,6717,BTCUSDT
1641032100000,47111.11000000,47111.12000000,46812.99000000,46874.25000000,285.13532000,9053,BTCUSDT
1641033000000,46874.26000000,47017.95000000,46715.39000000,46979.50000000,366.49823000,10778,BTCUSDT
1641033900000,46979.50000000,47081.02000000,46868.71000000,46871.08000000,142.61148000,5992,BTCUSDT
1641034800000,46871.09000000,46960.39000000,46862.41000000,46925.19000000,164.24690000,7526,BTCUSDT
1641035700000,46925.20000000,47007.73000000,46898.97000000,46956.77000000,171.41749000,6239,BTCUSDT
1641036600000,46956.78000000,46994.24000000,46819.90000000,46946.36000000,218.58084000,6462,BTCUSDT
1641037500000,46946.36000000,46978.42000000,46756.77000000,46758.87000000,178.64270000,6854,BTCUSDT
1641038400000,46758.87000000,46992.60000000,46756.30000000,46990.62000000,132.00011000,6866,BTCUSDT
1641039300000,46990.14000000,47012.49000000,46884.87000000,46959.51000000,120.00104000,6409,BTCUSDT
1641040200000,46959.51000000,47150.48000000,46941.20000000,47008.32000000,222.54846000,7194,BTCUSDT
1641041100000,47008.32000000,47133.78000000,47007.01000000,47074.05000000,107.60048000,5139,BTCUSDT
