unix,open,high,low,close,volume,num_of_trades,symbol
1635802200000,4290.67000000,4300.50000000,4278.07000000,4296.82000000,2480.71120000,10184,ETHUSDT
1635803100000,4296.83000000,4310.00000000,4290.62000000,4295.81000000,2127.11180000,8043,ETHUSDT
1635804000000,4295.82000000,4314.26000000,4292.24000000,4313.82000000,1828.59910000,6081,ETHUSDT
1635804900000,4313.82000000,4323.92000000,4306.32000000,4319.10000000,1362.74990000,4875,ETHUSDT
1635805800000,4318.92000000,4338.00000000,4316.20000000,4335.93000000,2378.98150000,5854,ETHUSDT
1635806700000,4335.94000000,4336.90000000,4303.52000000,4305.93000000,2297.48080000,5860,ETHUSDT
1635807600000,4305.92000000,4327.00000000,4304.39000000,4323.68000000,2023.79100000,5675,ETHUSDT
1635808500000,4323.57000000,4329.67000000,4316.68000000,4316.83000000,2276.62710000,5390,ETHUSDT
1635809400000,4316.83000000,4327.63000000,4308.97000000,4325.38000000,1927.60020000,4941,ETHUSDT
1635810300000,4325.38000000,4334.54000000,4318.86000000,4319.43000000,1631.47260000,4803,ETHUSDT
1635811200000,4319.43000000,4344.75000000,4306.82000000,4343.12000000,3146.47300000,9842,ETHUSDT
1635812100000,4343.11000000,4349.89000000,4335.21000000,4340.70000000,3414.02320000,8900,ETHUSDT
1635813000000,4340.71000000,4341.14000000,4285.21000000,4285.21000000,6245.59330000,14453,ETHUSDT
1635813900000,4285.22000000,4311.17000000,4284.43000000,4311.07000000,3292.07540000,8061,ETHUSDT
1635814800000,4310.93000000,4319.02000000,4297.96000000,4317.05000000,2561.12400000,8588,ETHUSDT
1635815700000,4317.06000000,4342.19000000,4312.38000000,4329.64000000,4383.18360000,11029,ETHUSDT
1635816600000,4329.65000000,4331.82000000,4313.44000000,4313.80000000,2501.06280000,7537,ETHUSDT
1635817500000,4313.79000000,4326.46000000,4308.84000000,4320.92000000,3312.76780000,8764,ETHUSDT
1635818400000,4320.63000000,4330.34000000,4313.64000000,4314.79000000,1912.16850000,7030,ETHUSDT
1635819300000,4314.78000000,4325.14000000,4310.12000000,4317.48000000,2351.18920000,7096,ETHUSDT
1635820200000,4317.48000000,4317.71000000,4305.03000000,4307.55000000,2104.96860000,6754,ETHUSDT
1635821100000,4307.54000000,4310.49000000,4301.54000000,4307.51000000,1511.21130000,5695,ETHUSDT
1635822000000,4307.51000000,4313.77000000,4298.51000000,4310.68000000,1825.36260000,5621,ETHUSDT
1635822900000,4310.69000000,4313.00000000,4302.93000000,4308.34000000,1663.77020000,5211,ETHUSDT
1635823800000,4308.27000000,4316.43000000,4305.88000000,4314.80000000,1147.70390000,4193,ETHUSDT
1635824700000,4314.81000000,4322.00000000,4313.79000000,4318.83000000,1363.01650000,4525,ETHUSDT
1635825600000,4318.82000000,4328.80000000,4315.37000000,4327.35000000,1475.76750000,5510,ETHUSDT
1635826500000,4327.35000000,4346.98000000,4325.17000000,4339.87000000,3776.94730000,8538,ETHUSDT
1635827400000,4339.86000000,4363.49000000,4339.86000000,4352.00000000,5824.97820000,15787,ETHUSDT
1635828300000,4352.00000000,4371.89000000,4344.55000000,4362.69000000,5525.17340000,12769,ETHUSDT
1635829200000,4362.69000000,4367.25000000,4342.87000000,4343.86000000,3851.95680000,11101,ETHUSDT
1635830100000,4343.53000000,4349.84000000,4338.64000000,4345.16000000,3082.11450000,9019,ETHUSDT
1635831000000,4345.16000000,4365.96000000,4345.00000000,4362.45000000,4184.21430000,11107,ETHUSDT
1635831900000,4362.44000000,4371.04000000,4356.32000000,4365.10000000,3030.02930000,9998,ETHUSDT
1635832800000,4365.09000000,4373.00000000,4349.24000000,4351.94000000,3171.19360000,8639,ETHUSDT
1635833700000,4351.94000000,4368.70000000,4349.59000000,4360.48000000,1722.52000000,5527,ETHUSDT
1635834600000,4360.47000000,4387.81000000,4356.30000000,4367.23000000,7080.94850000,33973,ETHUSDT
1635835500000,4367.05000000,4376.73000000,4363.22000000,4376.00000000,2008.89930000,5708,ETHUSDT
1635836400000,4376.00000000,4379.69000000,4358.28000000,4361.57000000,3149.74860000,9919,ETHUSDT
1635837300000,4361.57000000,4367.90000000,4351.36000000,4355.56000000,2696.87610000,9631,ETHUSDT
1635838200000,4355.57000000,4360.28000000,4350.90000000,4357.29000000,1664.19780000,8239,ETHUSDT
1635839100000,4357.28000000,4357.69000000,4337.28000000,4340.81000000,2959.59070000,11769,ETHUSDT
1635840000000,4340.82000000,4351.14000000,4330.02000000,4342.18000000,4207.21030000,13281,ETHUSDT
1635840900000,4342.17000000,4354.62000000,4341.32000000,4345.37000000,2623.60320000,6706,ETHUSDT
1635841800000,4345.37000000,4352.34000000,4344.44000000,4347.69000000,1380.84180000,4814,ETHUSDT
1635842700000,4347.70000000,4364.75000000,4347.36000000,4350.06000000,2375.10890000,6722,ETHUSDT
1635843600000,4350.09000000,4350.58000000,4341.13000000,4341.55000000,2126.34710000,6037,ETHUSDT
1635844500000,4341.54000000,4365.30000000,4340.01000000,4361.63000000,2522.12370000,7382,ETHUSDT
1635845400000,4361.62000000,4407.00000000,4356.30000000,4396.00000000,14011.99180000,56230,ETHUSDT
1635846300000,4395.99000000,4438.40000000,4395.49000000,4425.55000000,17644.46780000,80861,ETHUSDT
