unix,open,high,low,close,volume,num_of_trades,symbol
1662010200000,20122.61000000,20126.11000000,20073.44000000,20109.80000000,2092.52786000,45147,BTCUSDT
1662011100000,20110.25000000,20114.63000000,20032.63000000,20038.97000000,1861.83896000,48066,BTCUSDT
1662012000000,20038.97000000,20057.09000000,20000.00000000,20019.99000000,2237.72498000,53951,BTCUSDT
1662012900000,20019.99000000,20032.58000000,19974.80000000,20032.12000000,2299.20313000,56408,BTCUSDT
1662013800000,20032.12000000,20042.43000000,19996.25000000,20000.41000000,1938.54058000,46995,BTCUSDT
1662014700000,20000.41000000,20014.81000000,19948.58000000,19982.50000000,2532.78017000,61789,BTCUSDT
1662015600000,19981.60000000,19983.26000000,19877.58000000,19939.57000000,3609.24966000,92519,BTCUSDT
1662016500000,19941.23000000,19968.91000000,19880.00000000,19902.52000000,3080.83734000,74667,BTCUSDT
1662017400000,19903.98000000,19921.18000000,19801.38000000,19888.30000000,3797.64788000,89770,BTCUSDT
1662018300000,19886.96000000,19936.53000000,19867.00000000,19895.66000000,2340.21454000,58685,BTCUSDT
1662019200000,19894.97000000,19937.30000000,19847.27000000,19934.64000000,2407.67972000,61760,BTCUSDT
1662020100000,19935.86000000,19939.97000000,19873.00000000,19873.00000000,2381.64429000,52340,BTCUSDT
1662021000000,19873.59000000,19920.57000000,19820.60000000,19892.54000000,2341.66324000,64195,BTCUSDT
1662021900000,19892.54000000,19932.03000000,19868.00000000,19928.09000000,1879.23979000,49881,BTCUSDT
1662022800000,19928.09000000,19984.12000000,19822.00000000,19867.06000000,3512.08769000,79641,BTCUSDT
1662023700000,19865.96000000,19902.63000000,19829.40000000,19898.62000000,3043.53114000,67048,BTCUSDT
1662024600000,19898.62000000,19924.98000000,19877.74000000,19922.15000000,1762.34568000,42459,BTCUSDT
1662025500000,19922.15000000,19959.88000000,19901.43000000,19934.57000000,2121.48490000,50340,BTCUSDT
1662026400000,19934.57000000,19957.58000000,19914.63000000,19951.50000000,1711.58921000,41705,BTCUSDT
1662027300000,19950.24000000,20001.00000000,19936.51000000,19961.41000000,2704.97194000,59446,BTCUSDT
1662028200000,19962.11000000,20009.09000000,19947.63000000,19998.15000000,2152.02470000,53427,BTCUSDT
1662029100000,19998.67000000,20029.99000000,19970.40000000,20020.45000000,2808.11859000,60944,BTCUSDT
1662030000000,20020.46000000,20042.22000000,19976.49000000,19997.71000000,3004.93429000,64485,BTCUSDT
1662030900000,19997.71000000,20034.02000000,19975.17000000,19995.88000000,2645.50252000,52728,BTCUSDT
