unix,open,high,low,close,volume,num_of_trades,symbol
1662066900000,1586.24000000,1595.00000000,1581.55000000,1582.24000000,11061.48660000,18823,ETHUSDT
1662067800000,1582.24000000,1587.27000000,1579.16000000,1579.53000000,6080.03540000,8360,ETHUSDT
1662068700000,1579.54000000,1584.13000000,1576.61000000,1581.51000000,2821.41430000,6273,ETHUSDT
1662069600000,1581.50000000,1599.00000000,1581.50000000,1596.24000000,8798.57400000,15437,ETHUSDT
1662070500000,1596.24000000,1596.58000000,1586.40000000,1587.17000000,4597.12840000,10076,ETHUSDT
1662071400000,1587.16000000,1589.48000000,1583.07000000,1584.56000000,5870.47750000,9920,ETHUSDT
1662072300000,1584.57000000,1588.86000000,1584.04000000,1586.53000000,5582.49300000,5768,ETHUSDT
1662073200000,1586.54000000,1588.31000000,1581.49000000,1586.14000000,4550.99480000,8493,ETHUSDT
1662074100000,1586.13000000,1591.53000000,1584.01000000,1585.74000000,3979.16980000,6692,ETHUSDT
1662075000000,1585.74000000,1589.90000000,1582.41000000,1588.18000000,4347.46030000,7326,ETHUSDT
1662075900000,1588.17000000,1588.36000000,1583.26000000,1586.16000000,2822.78310000,4962,ETHUSDT
1662076800000,1586.17000000,1586.28000000,1578.00000000,1582.49000000,7445.81050000,12067,ETHUSDT
1662077700000,1582.50000000,1582.50000000,1573.01000000,1579.49000000,6154.56330000,10159,ETHUSDT
1662078600000,1579.49000000,1579.86000000,1576.02000000,1578.05000000,2785.83230000,6473,ETHUSDT
1662079500000,1578.06000000,1584.06000000,1577.17000000,1581.88000000,3481.01330000,5824,ETHUSDT
1662080400000,1581.87000000,1583.29000000,1571.64000000,1574.78000000,4016.85820000,6626,ETHUSDT
1662081300000,1574.78000000,1582.32000000,1573.00000000,1580.21000000,4075.90440000,7089,ETHUSDT
1662082200000,1580.21000000,1581.14000000,1576.88000000,1577.19000000,2801.59930000,5407,ETHUSDT
1662083100000,1577.20000000,1580.26000000,1575.58000000,1579.71000000,3205.34160000,4920,ETHUSDT
1662084000000,1579.72000000,1584.17000000,1572.51000000,1574.35000000,6490.05900000,8337,ETHUSDT
1662084900000,1574.36000000,1576.95000000,1567.15000000,1571.10000000,6330.72660000,9899,ETHUSDT
1662085800000,1571.10000000,1575.04000000,1571.10000000,1573.86000000,4053.09110000,5001,ETHUSDT
1662086700000,1573.87000000,1579.08000000,1573.86000000,1578.00000000,3563.44410000,5346,ETHUSDT
